"","Date","Value"
"1",2016-04-15,17897.46
"2",2016-04-14,17926.43
"3",2016-04-13,17908.28
"4",2016-04-12,17721.25
"5",2016-04-11,17556.41
"6",2016-04-08,17576.96
"7",2016-04-07,17541.96
"8",2016-04-06,17716.05
"9",2016-04-05,17603.32
"10",2016-04-04,17737
"11",2016-04-01,17792.75
"12",2016-03-31,17685.09
"13",2016-03-30,17716.66
"14",2016-03-29,17633.11
"15",2016-03-28,17535.39
"16",2016-03-24,17515.73
"17",2016-03-23,17502.59
"18",2016-03-22,17582.57
"19",2016-03-21,17623.87
"20",2016-03-18,17602.3
"21",2016-03-17,17481.49
"22",2016-03-16,17325.76
"23",2016-03-15,17251.53
"24",2016-03-14,17229.13
"25",2016-03-11,17213.31
"26",2016-03-10,16995.13
"27",2016-03-09,17000.36
"28",2016-03-08,16964.1
"29",2016-03-07,17073.95
"30",2016-03-04,17006.77
"31",2016-03-03,16943.9
"32",2016-03-02,16899.32
"33",2016-03-01,16865.08
"34",2016-02-29,16516.5
"35",2016-02-26,16639.97
"36",2016-02-25,16697.29
"37",2016-02-24,16484.99
"38",2016-02-23,16431.78
"39",2016-02-22,16620.66
"40",2016-02-19,16391.99
"41",2016-02-18,16413.43
"42",2016-02-17,16453.83
"43",2016-02-16,16196.41
"44",2016-02-12,15973.84
"45",2016-02-11,15660.18
"46",2016-02-10,15914.74
"47",2016-02-09,16014.38
"48",2016-02-08,16027.05
"49",2016-02-05,16204.97
"50",2016-02-04,16416.58
"51",2016-02-03,16336.66
"52",2016-02-02,16153.54
"53",2016-02-01,16449.18
"54",2016-01-29,16466.3
"55",2016-01-28,16069.64
"56",2016-01-27,15944.46
"57",2016-01-26,16167.23
"58",2016-01-25,15885.22
"59",2016-01-22,16093.51
"60",2016-01-21,15882.68
"61",2016-01-20,15766.74
"62",2016-01-19,16016.02
"63",2016-01-15,15988.08
"64",2016-01-14,16379.05
"65",2016-01-13,16151.41
"66",2016-01-12,16516.22
"67",2016-01-11,16398.57
"68",2016-01-08,16346.45
"69",2016-01-07,16514.1
"70",2016-01-06,16906.51
"71",2016-01-05,17158.66
"72",2016-01-04,17148.94
