"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Oklahoma lawmaker accused of harassment submits resignation  https://t.co/ECfxxtPrLr https://t.co/Kzh5kVnXx9",FALSE,123,NA,2017-02-05 04:41:00,FALSE,NA,"828101093070565376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",53,FALSE,FALSE,NA,NA
"2","BuzzFeed sued over publication of Trump dossier, report says  https://t.co/hc0PdxRm1m https://t.co/4VpBUnDMUd",FALSE,1065,NA,2017-02-05 04:18:00,FALSE,NA,"828095304624803840",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",257,FALSE,FALSE,NA,NA
"3","Growing number of women leading US police departments https://t.co/yprfN5cUnI https://t.co/dxoo8I7SB8",FALSE,516,NA,2017-02-05 03:45:00,FALSE,NA,"828087000993452032",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",133,FALSE,FALSE,NA,NA
"4","Ukrainian rebels say commander killed in car bombing  https://t.co/4HehtwGW64 https://t.co/zUaAqPHgCS",FALSE,178,NA,2017-02-05 03:20:01,FALSE,NA,"828080711227813888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",120,FALSE,FALSE,NA,NA
"5","Conway says she misspoke on Iraqi terrorists, calls some critics ‘haters’ https://t.co/IM6MuDPlnE https://t.co/M3ltICSVfC",FALSE,1328,NA,2017-02-05 02:36:00,FALSE,NA,"828069635761197056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",207,FALSE,FALSE,NA,NA
"6","US agencies, airlines try to respond to judge's immigration ruling, Justice Dept. files notice of appeal… https://t.co/SdIo6P6LSN",FALSE,387,NA,2017-02-05 02:00:23,TRUE,NA,"828060672231665665",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",119,FALSE,FALSE,NA,NA
"7","Tune in to Fox News Channel right NOW for an all-new @WattersWorld - Live from Houston!
https://t.co/TrquUoZM2Y",FALSE,673,NA,2017-02-05 01:00:06,FALSE,NA,"828045503237459968",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","FoxNews",92,FALSE,FALSE,NA,NA
"8","German magazine sparks furor with cover of Trump beheading Statue of Liberty https://t.co/s5l5kh0On2 https://t.co/81SP49aFOS",FALSE,457,NA,2017-02-05 00:55:08,FALSE,NA,"828044250935939072",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",309,FALSE,FALSE,NA,NA
"9","Watch Bill O’Reilly’s interview w/ Pres. @realDonaldTrump Sunday at 4p ET during the #SuperBowl pregame show on FOX… https://t.co/iQT3yCDOlj",FALSE,1623,NA,2017-02-05 00:11:17,TRUE,NA,"828033214782464000",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",468,FALSE,FALSE,NA,NA
"10","BREAKING: Justice Dept. formally appeals court ruling that suspended Trump's immigration ban https://t.co/HTYn7n1qol https://t.co/VzlssVEuZ2",FALSE,4519,NA,2017-02-05 00:08:02,FALSE,NA,"828032396725514240",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",1560,FALSE,FALSE,NA,NA
"11","What's your answer to @KatrinaPierson's question? https://t.co/62ipD4FYYq https://t.co/aJ0EE1D462",FALSE,2417,NA,2017-02-04 23:57:31,FALSE,NA,"828029749821857792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",545,FALSE,FALSE,NA,NA
"12","On ""Cashin' In,"" @LisaMarieBoothe slammed @POTUS's treatment by his political adversaries and the mainstream media. https://t.co/bRDuD0sRdf",FALSE,2422,NA,2017-02-04 23:42:27,FALSE,NA,"828025958779203585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",625,FALSE,FALSE,NA,NA
"13","In his speech to the Federalist Society in Philadelphia today, @VP Mike Pence had sober words about the Constitutio… https://t.co/VrUIPlvEK6",FALSE,1850,NA,2017-02-04 23:31:28,TRUE,NA,"828023197173964801",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",355,FALSE,FALSE,NA,NA
"14","What's your answer to @KatrinaPierson's question? https://t.co/62ipD4FYYq https://t.co/DmmFZ4XxEr",FALSE,1538,NA,2017-02-04 23:29:55,FALSE,NA,"828022804364812288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",280,FALSE,FALSE,NA,NA
"15","The @AtlantaFalcons are playing in the #SuperBowl for just the second time in 51-year history. https://t.co/EzNP278ixB",FALSE,328,NA,2017-02-04 23:29:41,FALSE,NA,"828022748479905792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",84,FALSE,FALSE,NA,NA
"16","Restricted refugee countries. https://t.co/ptSBuAsM7X",FALSE,594,NA,2017-02-04 23:29:27,FALSE,NA,"828022687238934528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",214,FALSE,FALSE,NA,NA
"17",".@KatrinaPierson: ""When are Democrats NOT outraged?"" https://t.co/K3hNPUO71t https://t.co/iabw5PZj28",FALSE,1424,NA,2017-02-04 23:29:10,FALSE,NA,"828022618200502272",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",296,FALSE,FALSE,NA,NA
"18","Earlier today, President @realDonaldTrump tweeted a message about the federal judge who halted his travel ban. https://t.co/vcJgUwqKD6",FALSE,2219,NA,2017-02-04 23:27:16,FALSE,NA,"828022140444299266",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",522,FALSE,FALSE,NA,NA
"19",".@KatrinaPierson: ""The 'Constitutional argument' falls flat on its face b/c foreign nationals... aren't entitled to… https://t.co/zFaKuEpKdP",FALSE,2308,NA,2017-02-04 23:26:46,TRUE,NA,"828022013461606400",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",625,FALSE,FALSE,NA,NA
"20",".@DineshDSouza commented on the federal judge halting President @realDonaldTrump's immigration order.… https://t.co/Cihud97cRg",FALSE,1659,NA,2017-02-04 23:26:16,TRUE,NA,"828021887720628225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",536,FALSE,FALSE,NA,NA
"21","TONIGHT: Milo Yiannopoulos talks to @JudgeJeanine on ""Justice"" at 9p ET; then at 10p ET, the @GregGutfeldShow talks… https://t.co/t8ATHiub9x",FALSE,909,NA,2017-02-04 23:26:06,TRUE,NA,"828021843424530432",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",228,FALSE,FALSE,NA,NA
"22",".@KatrinaPierson: ""President Trump is very serious about the promises that he made to keep Americans safe."" https://t.co/zZp2MDsse1",FALSE,1966,NA,2017-02-04 23:25:37,FALSE,NA,"828021721684783107",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",323,FALSE,FALSE,NA,NA
"23","On ""Cashin' In,"" @RCamposDuffy had some advice for former President Barack Obama. https://t.co/bHO0qpMnNi",FALSE,911,NA,2017-02-04 23:25:21,FALSE,NA,"828021658157985793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",251,FALSE,FALSE,NA,NA
"24",".@DineshDSouza: ""The humanitarian sense of allowing in refugees must take a subordinate position to the basic secur… https://t.co/pgvfcF9e8R",FALSE,1570,NA,2017-02-04 23:24:46,TRUE,NA,"828021510786871296",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",439,FALSE,FALSE,NA,NA
"25","Americans receiving Social Security benefits - 61 million. https://t.co/f6o5m12Wr8",FALSE,193,NA,2017-02-04 23:24:15,FALSE,NA,"828021380255989760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",106,FALSE,FALSE,NA,NA
"26","Federal funds for public universities - 2014. https://t.co/p9TxYblvEQ",FALSE,111,NA,2017-02-04 23:24:05,FALSE,NA,"828021338094895104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",96,FALSE,FALSE,NA,NA
"27",".@DineshDSouza: ""The rights of our Constitution pertain to American citizens. They don't apply to aliens.""… https://t.co/lezQZKRVRt",FALSE,1969,NA,2017-02-04 23:23:52,TRUE,NA,"828021284747440132",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",631,FALSE,FALSE,NA,NA
"28",".@DineshDSouza: ""You're beginning to see this... almost terrorist element on campus."" https://t.co/nLiB2P9Gq7 https://t.co/6DdN3g2caS",FALSE,1658,NA,2017-02-04 23:23:22,FALSE,NA,"828021158427570176",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",698,FALSE,FALSE,NA,NA
"29","Earlier today, President @realDonaldTrump tweeted about immigration, safety, and security. https://t.co/CssfEgr2Qn",FALSE,1188,NA,2017-02-04 23:23:05,FALSE,NA,"828021088114376706",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",267,FALSE,FALSE,NA,NA
"30","Poll: Temporary ban against 7 countries - 51% disapprove. https://t.co/ueOLMCO3G0",FALSE,322,NA,2017-02-04 23:22:54,FALSE,NA,"828021039657578496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",130,FALSE,FALSE,NA,NA
"31","Federal funds given to @UCBerkeley in 2016 - $370 million. https://t.co/caGKR1UW7C",FALSE,203,NA,2017-02-04 23:22:34,FALSE,NA,"828020954227957762",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",221,FALSE,FALSE,NA,NA
"32","'Terrible' decision?: US agencies, airlines dash to respond to judge's immigration ruling https://t.co/cU3aeld7ob https://t.co/fmpeDkCeNe",FALSE,141,NA,2017-02-04 23:19:21,FALSE,NA,"828020146623090688",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FoxNews",68,FALSE,FALSE,NA,NA
