"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1",".@AnikaNoniRose stars in a new @BET series 'The Quad."" She says that many painful things have been imposed on HBCUs. https://t.co/5yDOXXK4mm",FALSE,115,NA,2017-02-05 04:17:00,FALSE,NA,"828095053541187584",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",50,FALSE,FALSE,NA,NA
"2","@NPR Sorry, that tweet should have said, ""Here's a recap.""",FALSE,129,"NPR",2017-02-05 03:52:50,FALSE,"828079451703488512","828088969296486400","5392522","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPR",6,FALSE,FALSE,NA,NA
"3","It's hard to keep track of all's that's happened during the first two weeks of Trump's administration. Here's  recap https://t.co/VBVyr6L9cL",FALSE,486,NA,2017-02-05 03:15:00,FALSE,NA,"828079451703488512",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",382,FALSE,FALSE,NA,NA
"4","NPR's @nprscottsimon reflects on potential effects on the community from Caterpillar moving its headquarters. https://t.co/vptwx5M1rn",FALSE,88,NA,2017-02-05 02:20:00,FALSE,NA,"828065610114347008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",72,FALSE,FALSE,NA,NA
"5","In her new album, Reba McEntire chose songs from her past that meant the most to her. https://t.co/oDDGm1o4IC",FALSE,143,NA,2017-02-05 02:15:00,FALSE,NA,"828064350623588353",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",36,FALSE,FALSE,NA,NA
"6","It's hard for us to remember everything that's happened in past two week's of Trump's Administration, too.
https://t.co/SbuwCkxcvD",FALSE,803,NA,2017-02-05 02:00:02,FALSE,NA,"828060583693950976",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",653,FALSE,FALSE,NA,NA
"7","She reigns as queen in Bollywood, but now actress Deepika Padukone is hoping to find success in Hollywood roles. https://t.co/1oPffFu2Oe",FALSE,112,NA,2017-02-05 01:45:00,FALSE,NA,"828056801476108288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",35,FALSE,FALSE,NA,NA
"8","This comes one week after protests happened across the country in response to the immigration ban. https://t.co/R5mT97T3MK",FALSE,128,"NPR",2017-02-05 01:09:30,FALSE,"828047031600029696","828047865335406592","5392522","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPR",47,FALSE,FALSE,NA,NA
"9","Judge James Robart, from Washington state, is the judge who blocked President Trump's immigration ban. https://t.co/h0ZNbAzzwX",FALSE,460,"NPR",2017-02-05 01:06:11,FALSE,"828046035272470529","828047031600029696","5392522","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPR",182,FALSE,FALSE,NA,NA
"10","The Trump administration has filed an appeal to the 9th U.S. Circuit Court of Appeals regarding the Feb. 3 ruling by Judge James Robart.",FALSE,386,NA,2017-02-05 01:02:13,FALSE,NA,"828046035272470529",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPR",381,FALSE,FALSE,NA,NA
"11","NPR's Steve Inskeep asked some Johnstown, Pa. residents who voted for Trump, ""how's the new President  doing?""… https://t.co/bYMx3Hbssw",FALSE,82,NA,2017-02-05 00:00:02,TRUE,NA,"828030385103654912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",37,FALSE,FALSE,NA,NA
"12","The ""thousands of illegal immigrants"" from Australia that Trump referenced are actually about 1,250 asylum seekers.  https://t.co/xHurOHTPjn",FALSE,1695,NA,2017-02-04 23:07:00,FALSE,NA,"828017039356813312",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",1169,FALSE,FALSE,NA,NA
"13","Meet the judge who blocked Trump's immigration order and his reasoning for doing it. https://t.co/vqBFZ6UQIR",FALSE,791,NA,2017-02-04 22:15:01,FALSE,NA,"828003955313614850",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",325,FALSE,FALSE,NA,NA
"14","Some things, like throwing a football for a really long distance, are just easier without gravity. Just watch. https://t.co/MF1ffg3d6r",FALSE,45,NA,2017-02-04 22:00:03,FALSE,NA,"828000188501467137",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",18,FALSE,FALSE,NA,NA
"15","Was Trump praised ""by and large"" for not mentioning Jews in his Holocaust remembrance statement? Not really.  https://t.co/WMXaCckV1x",FALSE,451,NA,2017-02-04 21:50:00,FALSE,NA,"827997660925698048",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",286,FALSE,FALSE,NA,NA
