"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Here’s WSJ’s competition to showcase solutions to problems of financial access for the poor in Asia https://t.co/UtQ4yNxlVr #WSJInclusion",FALSE,12,NA,2017-02-05 04:55:05,FALSE,NA,"828104638813577216",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",14,FALSE,FALSE,NA,NA
"2","Donald Trump appears to draw parallels between U.S., Vladimir Putin https://t.co/JtWrPfXuE0 https://t.co/xzcmsuiPlC",FALSE,95,NA,2017-02-05 04:14:03,FALSE,NA,"828094311254331392",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",103,FALSE,FALSE,NA,NA
"3","Contrary to public perception, fatal shootings by police officers are relatively rare, an ex-NYPD official writes https://t.co/2QgTOv0Iw9",FALSE,253,NA,2017-02-05 03:34:19,FALSE,NA,"828084310729179136",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",135,FALSE,FALSE,NA,NA
"4","A handful of Senate Democrats are at the center of the coming fight over Trump’s Supreme Court pick https://t.co/JYP1OTrSdW",FALSE,204,NA,2017-02-05 02:44:37,FALSE,NA,"828071805420187648",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",107,FALSE,FALSE,NA,NA
"5","Snapchat may be a messaging app, but in many ways, it’s also a new kind of television https://t.co/oAwOw0fTE8",FALSE,102,NA,2017-02-05 01:52:56,FALSE,NA,"828058795985211392",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",53,FALSE,FALSE,NA,NA
"6","Homeland Security suspends rules flagging travelers subject to Trump's immigration order following judge's ruling https://t.co/UbbwtLxDA3",FALSE,212,NA,2017-02-05 01:04:09,FALSE,NA,"828046521417494530",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",105,FALSE,FALSE,NA,NA
"7","What to read this weekend: 20 recommendations from WSJ's Book Review editors https://t.co/tFLUKUUbti",FALSE,115,NA,2017-02-05 00:17:42,FALSE,NA,"828034829207863296",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",56,FALSE,FALSE,NA,NA
"8","One faction of Trump's staff favors rapid-fire executive orders, while another prefers to act more deliberately https://t.co/VmduXkpbjp",FALSE,92,NA,2017-02-04 23:32:28,FALSE,NA,"828023447926214657",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",75,FALSE,FALSE,NA,NA
"9","New paintings by one of the world's highest-paid living artists https://t.co/7aQ3GJtOxG",FALSE,192,NA,2017-02-04 22:46:26,FALSE,NA,"828011864923729920",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",92,FALSE,FALSE,NA,NA
"10","Churchill’s Underground War Rooms https://t.co/D68wGkNas9",FALSE,186,NA,2017-02-04 22:00:27,FALSE,NA,"828000290897031168",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",91,FALSE,FALSE,NA,NA
"11","Tesla's Elon Musk says he guided meeting between Trump and senior business advisers to discuss the travel ban https://t.co/A420tUWghX",FALSE,141,NA,2017-02-04 21:11:03,FALSE,NA,"827987859680456705",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",119,FALSE,FALSE,NA,NA
"12","An anti-Trump #Patriots fan on why he doesn’t care about his team’s politics​https://t.co/2F8TeeijOu",FALSE,95,NA,2017-02-04 20:25:23,FALSE,NA,"827976367568539648",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",50,FALSE,FALSE,NA,NA
"13","'This is the room from which I’ll direct the war.' A new book looks at Churchill's underground HQ  https://t.co/lHLn1R4kw8",FALSE,221,NA,2017-02-04 19:38:30,FALSE,NA,"827964569674977280",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",105,FALSE,FALSE,NA,NA
"14","U.S. airlines return to transporting passengers who had been banned https://t.co/qUfvnMtUvm",FALSE,246,NA,2017-02-04 18:49:03,FALSE,NA,"827952122390011904",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",143,FALSE,FALSE,NA,NA
"15","Trump criticizes ‘so-called judge’ who lifted travel ban https://t.co/Jrx8feAxwy",FALSE,229,NA,2017-02-04 18:14:01,FALSE,NA,"827943306910916608",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",151,FALSE,FALSE,NA,NA
